33,23,1
25,19,1
23,29,4
1,17,4
2,9,5
3,1,5
34,24,1
39,33,1
29,37,4
27,27,4
4,21,5
5,5,5
26,20,1
40,34,1
31,11,4
35,39,4
6,41,5
7,35,5
24,30,4
30,38,4
32,12,4
37,31,2
8,7,6
9,3,6
10,18,4
28,28,4
36,40,4
38,32,2
11,25,6
12,15,6
13,10,5
14,22,5
15,42,5
16,8,6
17,26,6
41,13,3
18,2,5
19,6,5
20,36,5
21,4,6
22,16,6
42,14,3
